Standalone,Radical,Meaning,Seed Words
人,亻,man,uncle people crowd friend human
口,,mouth,open phonetic onomatopoeia shout
水,氵,water,pour liquid juice slosh
冰,冫,ice,snow blizzard freeze cold
手,扌,hand,put fetch finger handle
言,讠,say,word speak declare text
木,,tree,post table chair log
糸,纟,silk,loom textile sheet curtain
心,忄,heart,love sadness care angry
艸,艹,flora,bush vegetable leaf salad
行,彳,go,walk travel arrive leave path course
火,灬,fire,burn coal boil glow
土,,earth,dirt land place dig
肉,⺼,flesh,meat arm body bone
刀,刂,knife,cut stab blade sword
宫,宀,build,home structure roof office
日,,sun,hot bright shine light time when
女,,woman,feminine grace lust girl
禾,,corn,cereal bread oat harvest
金,钅,gold,metal iron smith hammer
贝,,shell,money armor carapace snail
又,,right,next justice left side
衣,衤,shirt,clothes wear jacket apparel
车,,car,drive truck bus airplane
目,,eye,see look observe blind
犬,犭,dog,cat squirrel wolf animal
米,,rice,beans noodles paste peas
食,饣,eat,food meal plate feed
子,,son,child inheritance teach mentor
囗,,surround,country border fence yard
戈,,spear,weapon soldier attack pierce
玉,𤣩,jade,treasure precious marble gem
示,礻,spirit,god holy ghost vibe
耳,,ear,hear deaf listen news
工,,work,toil employee job process
彡,,hair,spine wig fuzz bristle
弓,,bow,shoot arrow pull aim
丁,,nail,screw pin hammer hardware
虫,,bug,lizard beetle worm ant
邑,⻏,city,village Paris settle colonize
阜,⻖,mound,pile stairs hillock accumulate
卜,,crack,hole tear shear gap
牛,,ox,moose gore bison herd beast
聿,,pen,write pencil literature book
鱼,,fish,shrimp octopus swim whale
生,,life,live youth birth vivacious
夕,,night,dark scary evil calm
立,,stand,stop erect wait station
干,,hunt,gather pursue catch achieve
丰,,lush,scenic abundant beautiful plenty
申,,thunder,loud zap lightning electric
上,,up,superior above director high
下,,down,inferior below subordinate low
